Data Details,,,,,,,,,Levels of Location Strata,Levels of Business Sector Strata,ISIC Rev. 3.1 (http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,Construction,,,,,"Wholesale and retail trade; repair of motor vehicles, motocyles and personal and household goods",,,,,,Hotels and restaurants,,,"Transport, storage and communications",,"Professional, scientific and technical activities",,,,,,,Others,,Additional
Cìte d'Ivoire,2023,2022/2023,2020/2021,4,04/2023 - 09/2023,Global,AFR,649,"Abidjan (293), Central (118), Northern (109), Southern (129)","Food (103), Hotels (68), Other Manufacturing (170), Other Services (166), Retail (142)",103,8,1,0,14,5,52,8,2,1,13,0,12,5,2,10,2,3,3,2,0,21,6,0,14,2,3,39,31,142,12,8,3,6,0,68,15,0,3,4,7,1,0,0,2,3,1,8,4,0
Denmark,2020,2019,2017,5,01/2020 - 06/2021,Global,ECA,995,"Hovedstaden (223), Midtjylland (207), Nordjylland (190), Sjëlland (159), Syddanmark (216)","Fabricated Metal Products (82), Food (93), Machinery & Equipment (148), Non-Metallic Mineral Products (35), Other Manufacturing (269), Other Services (207), Retail (108), Rubber & Plastics Products (53)",93,0,0,7,3,0,18,7,17,1,38,0,53,35,42,82,4,31,148,12,29,24,32,4,0,69,0,24,61,108,14,1,1,3,1,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,2013,2012,2009,1,5/2013 - 9/2013,Global,MNA,266,Djibouti City (266),"Manufacturing (62), Other Services (145), Retail (59)",32,0,0,0,0,0,1,0,1,1,3,0,0,6,5,0,0,0,0,7,2,4,0,0,0,16,0,17,33,59,3,26,1,11,1,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,2010,2009,2007,1,8/2011 - 11/2011,Global,LAC,150,Entire Country (150),"Manufacturing (28), Services (122)",17,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,2,0,0,0,10,0,1,7,23,1,3,1,27,0,42,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,2010,2009,2007,2,3/2011 - 9/2011,Global,LAC,360,"Rest of the country (174), Santo Domingo (186)","Manufacturing (122), Other Services (121), Retail (117)",24,0,8,10,11,0,1,0,13,0,14,0,5,11,2,9,0,2,4,1,1,4,2,0,0,14,0,25,23,117,5,1,1,13,5,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,2016,2015,2013,3,08/2016 - 04/2017,Global,LAC,359,"Rest Of The Country (100), Santiago,  Puerto Plata, Espaillat (121), Santo Domingo (138)","Manufacturing (111), Other Services (121), Retail (127)",28,0,8,2,19,3,1,3,9,0,9,0,4,8,2,7,0,0,3,1,0,4,0,0,0,11,0,32,29,127,4,0,1,6,10,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2006,2005,2002,3,1/2006 - 12/2006,Global,LAC,658,"Azuay (95), Guayas (215), Pichincha (348)","Chemicals & Chemical Products (74), Food (109), Garments (25), Manufacturing (1), Rest of Universe (311), Retail (137), Services (1)",108,0,0,26,24,8,6,4,10,0,72,0,30,2,3,30,0,6,6,5,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299
Ecuador,2010,2009,2007,3,4/2010 - 4/2011,Global,LAC,366,"Azuay (111), Guayas (125), Pichincha (130)","Manufacturing (126), Other Services (137), Retail (103)",33,0,0,10,10,1,1,3,10,0,18,0,10,5,1,12,0,1,3,3,0,5,0,0,0,14,0,17,74,103,10,2,0,7,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2017,2016,2014,3,3/2017 - 10/2017,Global,LAC,361,"Azuay (58), Guayas (105), Pichincha (198)","Manufacturing (103), Other Services (172), Retail (86)",22,0,0,8,8,3,6,4,8,0,11,0,13,3,0,8,1,0,3,2,1,0,2,0,0,24,0,27,76,86,17,0,0,5,1,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2024,2023/2024,2021/2022,3,02/2024-03/2025,Global,LAC,345,"Center (215), East (92), West (38)","Food (40), Other Manufacturing (90), Other Services (169), Retail (46)",40,2,0,9,7,5,0,1,4,0,9,6,14,4,0,9,0,4,1,1,0,5,2,7,5,4,8,10,51,46,17,0,1,6,0,11,14,3,8,6,4,6,3,1,3,2,0,5,1,0
"Egypt, Arab Rep.",2007,2005,,20,6/2006 - 7/2006,Not Global,MNA,1339,"Alexandria (187), Aswan (4), Bani-Suef (10), Beheira (17), Cairo (430), Dakahliya (34), Damietta (12), Gharbiya (82), Giza (201), Ismailia (7), Kafr-El-Sheikh (7), Louxr (9), Menoufiya (47), Minya (16), Port Said (11), Qualyubia (97), Red Sea (12), Sharkiya (147), South Sinai (5), Suez (4)","Manufacturing (996), Services (343)",139,0,3,175,106,34,23,16,6,1,92,0,53,84,58,63,5,28,47,14,4,29,8,0,0,7,0,0,10,3,0,0,1,102,0,181,0,1,0,0,0,0,0,0,0,0,0,0,0,46
"Egypt, Arab Rep.",2008,2007,,25,8/2008 - 10/2008,Not Global,MNA,1530,"Alexandria (187), Assuit (35), Aswan (22), Bani-Suef (33), Beheira (17), Cairo (428), Dakahliya (34), Damietta (16), Fayoum (23), Gharbiya (83), Giza (216), Ismailia (7), Kafr-El-Sheikh (7), Loxur (16), Menoufiya (47), Minya (24), Port Said (10), Qena (12), Qualyubia (98), Red Sea (12), Sharkiya (149), Souhag (43), South Saini (1), South Sinai (6), Suez (4)","Manufacturing (1156), Services (374)",160,0,4,179,144,35,19,23,4,3,74,0,94,91,13,175,2,31,31,9,4,43,3,4,0,45,0,4,1,8,0,0,0,105,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Egypt, Arab Rep.",2013,2012,2009,12,6/2013 - 10/2014,Global,MNA,2897,"Alexandria (192), Cairo (794), Dakahliya (114), Damietta (117), Gharbiya (132), Giza (476), Kafr-El-Sheikh\Menoufiya\Beheira (226), Port Said\Suez\Ismalia (124), Qualyubia (144), Red Sea\Matrouh\Wadi Al Jadid\Sinai (36), Sharqia (187), Upper Egypt (355)","Chemicals & Chemical Products (173), Construction (134), Fabricated Metal Products (91), Food (257), Furniture (142), Garments (206), Hotels & Restaurants (163), IT & IT Services (4), Leather Products (111), Non-Metallic Mineral Products (245), Other Manufacturing (316), Printing & Publishing (58), Retail (147), Rubber & Plastics Products (121), Services of Motor Vehicles (49), Textiles (224), Transport, Storage, & Communications (256), Wholesale (122), Wood Products (78)",250,0,2,224,206,111,78,76,58,0,173,0,121,245,90,91,3,52,51,20,2,142,19,1,0,134,0,49,121,147,21,10,3,220,2,163,0,4,0,0,0,0,0,0,0,0,0,0,0,8
"Egypt, Arab Rep.",2016,2015,2013,7,10/2016 - 4/2017,Global,MNA,1814,"Frontier (79), Greater Cairo (650), Middle And East Delta (313), Northern Upper Egypt (238), Southern Upper Egypt (127), Suez Region (120), West Delta (287)","Basic Metals & Metal Products (125), Chemicals & Chemical Products (120), Construction (115), Food (219), Hospitality & Tourism (86), IT & IT Services (66), Leather Products (82), Machinery & Equipment, Electronics & Vehicles (78), Non-Metallic Mineral Products (149), Petroleum products, Plastics & Rubber (142), Services of Motor Vehicles/Wholesale/Retail (232), Textiles & Garments (131), Transport, Storage, & Communications (142), Wood products, Furniture, Paper & Publishing (127)",217,0,2,58,73,82,34,39,22,1,120,0,141,149,18,107,0,24,36,10,1,32,7,0,0,115,0,39,71,122,8,6,2,126,3,86,0,63,0,0,0,0,0,0,0,0,0,0,0,0
"Egypt, Arab Rep.",2020,2019,2017,6,12/2019-04/2020,Global,MNA,3075,"Greater Cairo (1158), Middle & East Delta (719), Northern Upper Egypt (256), Southern Upper Egypt (209), Suez Region (199), West Delta (534)","Basic Metals & Metal Products (197), Chemicals & Chemical Products (174), Construction (190), Food (493), Hospitality & Tourism (184), Leather Products (124), Machinery & Equipment, Electronics & Vehicles (241), Non-Metallic Mineral Products (189), Other Manufacturing (6), Other Services (264), Petroleum products, Plastics & Rubber (188), Services of Motor Vehicles/Wholesale/Retail (445), Textiles & Garments (176), Wood products, Furniture, Paper & Publishing (204)",493,0,4,130,46,124,98,38,18,4,174,0,184,189,92,105,3,65,113,39,2,50,21,0,0,190,0,64,279,102,69,46,3,108,6,184,0,32,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,2006,2005,2002,2,,Global,LAC,693,"Resto del pais (292), San Salvador (401)","Fabricated Metal Products (52), Food (125), Garments (82), Non-Metallic Mineral Products (51), Rest of Universe (329), Retail (54)",169,0,0,68,115,1,2,0,2,0,46,0,19,70,20,63,0,2,8,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
El Salvador,2010,2009,2007,2,7/2010 - 5/2011,Global,LAC,360,"Rest of the country (137), San Salvador (223)","Manufacturing (145), Other Services (126), Retail (89)",42,0,0,10,21,5,0,1,9,0,20,0,7,10,0,7,1,0,4,4,0,4,0,0,0,17,0,18,55,89,6,0,3,4,3,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,2016,2015,2013,4,03/2016 - 08/2016,Global,LAC,719,"East (114), Greater San Salvador (133), San Salvador (326), West (146)","Food (120), Furniture (62), Other Manufacturing (110), Other Services (170), Retail (144), Textiles & Garments (113)",120,0,0,33,80,5,4,3,23,0,15,0,8,18,1,16,0,1,13,2,1,62,0,0,0,18,0,38,69,144,8,0,1,5,7,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,2023,2021/2022,2019/2020,4,01/2023 - 07/2023,Global,LAC,729,"East (131), Greater San Salvador (114), San Salvador (348), West (136)","Construction (117), Food (100), Other Manufacturing (153), Other Services (143), Retail (130), Textiles & Garments (86)",100,16,0,22,64,6,2,6,15,0,12,10,5,6,2,22,0,2,4,5,0,24,8,8,20,73,24,27,47,130,13,1,0,6,3,7,15,1,5,4,4,1,6,0,2,0,0,0,1,0
Equatorial Guinea,2024,2023,2021,2,05/2024-09/2024,Global,AFR,173,"Continental (38), Insular (135)","Manufacturing (89), Services (84)",17,3,0,0,0,0,11,1,5,0,3,0,0,20,1,5,1,0,0,2,0,13,0,7,9,6,0,8,8,15,2,6,1,0,0,2,3,1,5,3,1,3,3,0,1,2,0,2,3,0
Eritrea,2009,2008,2006,3,7/2009 - 8/2009,Global,AFR,179,"Debub (23), Maekel (146), Northern Red Sea (10)","Manufacturing (102), Services (77)",38,0,0,4,2,5,8,4,1,1,4,0,2,16,1,1,0,1,2,0,0,3,0,0,0,5,0,4,23,5,3,0,0,8,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Estonia,2002,2001,1998/1999,1,,Not Global,,111,Estonia (111),"Manufacturing (26), Services (85)",1,0,0,1,1,2,0,0,5,0,0,0,2,0,0,5,0,3,1,0,0,4,1,0,0,19,0,4,17,22,3,0,0,1,3,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2005,2004,2002,13,,Not Global,,147,"Harjumaa (24), Hiiumaa (4), JÑrvamaa (3), J?gevamaa (3), LÑÑnemaa (5), PÑrnumaa (12), P?lvamaa (6), Saaremaa (1), Tallinn (74), Tartumaa (4), Valgamaa (1), Viljandimaa (2), Virumaa (8)","Manufacturing (38), Services (109)",5,0,0,3,5,1,3,0,8,0,0,0,2,1,0,3,0,3,1,1,0,1,1,0,0,26,0,5,13,28,4,0,0,4,3,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2009,2007,2004,5,4/2008 - 10/2008,Global,ECA,273,"Central (39), East (30), North (105), South (62), West (37)","Manufacturing (92), Other Services (99), Retail (82)",13,0,0,2,9,2,14,1,9,1,2,0,2,6,0,11,1,4,4,0,1,8,2,0,0,39,0,8,9,82,12,0,0,4,1,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2013,2011,2009,5,2/2013 - 7/2013,Global,ECA,273,"Kesk-Eesti (33), Kirde-Eesti (27), LÑÑne-Eesti (41), L?una-Eesti (68), P?hja-Eesti (104)","Manufacturing (83), Other Services (112), Retail (78)",17,0,0,5,7,1,10,0,4,0,2,0,3,2,1,10,1,1,6,0,3,7,3,0,0,32,0,17,20,78,12,0,0,3,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Estonia,2019,2018,2016,3,11/2018 - 01/2020,Global,ECA,360,"LÑÑne-Eesti, Kesk-Eesti ja Kirde-Eesti (129), L?una-Eesti (113), P?hja-Eesti (118)","Manufacturing (135), Other Services (143), Retail (82)",19,0,0,8,13,3,17,2,7,0,2,0,5,4,0,19,0,4,11,1,1,15,4,0,0,63,0,10,19,82,20,0,0,3,1,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2023,2022/2023,2020/2021,3,05/2023 - 10/2023,Global,ECA,351,"North (117), South (119), Western, Central, Northeastern (115)","Manufacturing (129), Other Services (147), Retail (75)",13,1,0,7,8,2,13,2,7,0,0,2,6,8,4,22,2,6,6,2,0,11,4,3,11,9,29,9,24,75,21,0,0,3,1,5,13,3,0,8,2,1,4,0,0,1,0,1,2,0
Eswatini,2006,2005,2002,3,6/2006 - 7/2006,Global,AFR,307,"Manzini (114), Matsapha (119), Mbabane (74)","Food (16), Garments (15), Other Manufacturing (39), Other Services (114), Retail (123)",16,0,0,5,15,0,0,1,7,0,5,0,2,5,0,4,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
Eswatini,2016,2015,2013,1,08/2016 - 11/2016,Global,AFR,150,Eswatini (150),"Manufacturing (75), Services (75)",20,0,0,0,12,0,3,2,7,0,3,0,5,8,1,3,0,0,2,0,0,9,0,0,0,6,0,6,3,38,4,0,0,3,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,2024,2023/2024,2021/2022,2,07/2024-11/2024,Global,AFR,156,"Hhohho (76), Rest of the Country (80)","Manufacturing (51), Services (105)",8,0,0,0,14,0,5,1,0,0,0,0,2,9,2,6,0,1,0,0,0,1,1,1,6,5,6,7,6,42,5,0,0,1,1,5,16,3,0,0,2,0,0,0,0,0,0,0,0,0
Ethiopia,2006,2004/2005,,15,8/2006 - 10/2006,Not Global,AFR,484,"Addis ababa (243), Adigrat (3), Adwa (2), Awasa (35), Bahir dar (27), Bishoftu (13), Dilla (5), Dire dawa (29), Gondar (19), Harar (20), Mekele (46), Modjo (3), Nazareth (35), Shashemen (3), Wonji (1)","Manufacturing (360), Services (124)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484
Ethiopia,2011,2011,2009,5,7/2011 - 7/2012,Global,AFR,644,"Addis Ababa (468), Amhara (42), Oromya (81), Snnp (18), Tigray (35)","Manufacturing (321), Services (323)",57,0,1,18,9,27,14,7,53,0,24,0,27,14,24,17,0,6,9,3,1,9,1,0,0,25,0,42,115,72,13,1,0,5,6,29,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2015,2013/2014,2011/2012,6,06/2015 - 02/2016,Global,AFR,848,"Addisababa (457), Amhara (69), Dredawa (27), Oromia (133), Snnpr (53), Tigray (109)","Food (89), Non-Metallic Mineral Products (63), Other Manufacturing (183), Other Services (298), Retail (83), Textiles & Garments (48), Transport (84)",89,0,1,13,35,22,8,3,27,0,14,0,27,63,13,22,0,4,5,5,0,29,3,0,0,53,0,41,127,83,73,0,0,10,1,72,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,2009,2008,2006,1,6/2009 - 3/2010,Global,EAP,164,Fiji (164),"Manufacturing (49), Services (115)",8,0,0,8,10,2,0,1,2,0,1,0,2,2,1,1,1,0,1,2,0,6,0,0,0,6,0,15,24,48,8,0,0,2,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Finland,2020,2019,2017,4,01/2020 - 06/2021,Global,ECA,759,"EtelÑ-Suomi (172), Helsinki-Uusimaa (187), LÑnsi-Suomi (208), Pohjois- ja ItÑ-Suomi (192)","Fabricated Metal Products (103), Food (56), Machinery & Equipment (95), Other Manufacturing (187), Other Services (197), Retail (76), Wood Products (45)",56,0,0,10,8,0,45,6,15,0,15,0,31,16,2,103,0,31,95,11,8,19,15,0,0,66,0,20,29,76,22,1,0,9,0,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0
France,2021,2019/2020,2017/2018,13,11/2020-12/2021,Global,ECA,1566,"Alsace-Champagne-Ardenne-Lorraine (127), Aquitaine-Limousin-Poitou-Charentes (123), Auvergne-Rhìne-Alpes (124), Bourgogne-Franche-ComtÇ (122), Bretagne (121), Centre-Val de Loire (120), Corse (90), Ile-de-France (127), Languedoc-Roussillon-Midi-PyrÇnÇes (125), Nord-Pas de Calais-Picardie (122), Normandie (121), Pays de la Loire (122), Provence-Alpes-Cìte d?Azur (122)","Construction (125), Fabricated Metal Products (162), Food (136), Hospitality & Tourism (139), IT & IT Services (123), Machinery & Equipment (153), Other Manufacturing (136), Other Services (212), Retail (146), Rubber & Plastics Products (118), Textiles, Garments & Leather (116)",136,0,1,76,25,15,15,15,9,0,12,0,118,15,7,162,4,8,153,16,7,15,12,0,0,125,0,63,84,146,49,1,0,14,1,139,0,123,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,2009,2007,2005,3,9/2008 - 2/2009,Global,AFR,179,"Libreville (128), Owendo (17), Port-Gentil (34)","Manufacturing (37), Services (142)",5,0,0,4,8,0,0,0,0,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,0,4,0,57,10,23,20,0,0,0,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,12
"Gambia, The",2006,2005,2002,2,7/2006 - 8/2006,Global,AFR,174,"Banjul (31), KMC (143)","Food (5), Garments (4), Other Manufacturing (24), Other Services (94), Retail (47)",5,0,0,0,4,0,7,0,1,0,0,0,2,1,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
"Gambia, The",2018,2017,2015,1,3/2018-4/2018,Global,AFR,151,Gambia (151),"Manufacturing (76), Services (75)",9,0,0,0,17,0,1,0,18,0,1,0,0,1,0,15,0,0,0,0,0,14,0,0,0,13,0,6,8,16,1,0,0,3,1,21,0,4,0,0,0,0,0,0,0,0,0,0,0,2
"Gambia, The",2023,2022,2020,1,05/2023 - 09/2023 ,Global,AFR,162,Gambia (162),"Manufacturing (76), Services (86)",8,2,0,0,23,0,7,2,2,0,1,0,1,0,3,11,0,0,1,0,0,11,3,1,7,6,2,4,12,22,1,0,0,3,0,11,6,6,1,0,0,1,0,0,1,0,0,2,1,0
Georgia,2002,2001,1998/1999,1,,Not Global,,100,Georgia (100),"Manufacturing (29), Services (71)",14,0,1,0,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,2,11,26,2,0,0,2,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2005,2004,2002,6,,Not Global,,126,"Imereti (24), Kakheti (5), Kvemo Kartli (14), Mmtskheta-Mtianeti (7), Shida Kartli (19), Tbilisi/capital (57)","Manufacturing (45), Services (81)",20,0,2,2,2,2,0,2,3,0,2,0,0,2,2,0,0,1,0,0,2,2,1,0,0,10,0,4,3,40,5,0,0,1,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2008,2007,2004,6,4/2008 - 12/2008,Global,ECA,373,"Imereti (60), Kakheti (63), Kvemo Kartli (45), Mmtskheta-Mtianeti (39), Shida Kartli (63), Tblisi (103)","Manufacturing (122), Other Services (141), Retail (110)",56,0,1,1,1,4,6,1,10,0,1,0,4,18,2,10,0,0,0,0,1,6,0,0,0,55,0,7,21,110,16,0,0,5,4,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2013,2011,2009,6,7/2012 - 12/2013,Global,ECA,360,"Coastline (71), Kakheti (28), Kvemo Kartli (39), Mtskheta-Mtianeti And Shida Kartli (33), Tbilisi (137), West (52)","Manufacturing (111), Other Services (120), Retail (129)",45,0,0,0,3,3,1,2,7,0,6,0,4,16,0,9,0,2,1,0,1,10,1,0,0,35,0,16,17,129,9,0,0,11,4,23,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Georgia,2019,2018,2016,4,03/2019 - 01/2020,Global,ECA,581,"Center (119), East (108), North And West (172), Tbilisi (182)","Food (107), Hotels & Restaurants (107), Manufacturing (98), Other Services (155), Retail (114)",107,0,0,0,10,2,5,1,6,1,7,0,7,21,7,11,0,0,0,0,0,19,1,0,0,51,0,13,63,114,6,2,0,12,6,107,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2023,2022,2020,4,04/2023 - 09/2023,Global,ECA,592,"Center (125), East (109), North and West (129), Tbilisi (229)","Food (101), Hotels (99), Other Manufacturing (125), Other Services (151), Retail (116)",101,29,0,4,12,1,3,2,3,0,5,1,3,22,2,10,0,5,0,1,0,15,4,3,8,18,9,6,51,116,11,1,0,8,1,99,22,2,2,5,0,1,5,0,0,0,0,1,0,0
Germany,2005,2004,2002,1,10/2004 - 2/2005,Not Global,,1196,Germany (1196),"Manufacturing (221), Services (975)",56,0,0,17,2,1,16,5,18,0,5,0,5,13,13,7,0,10,13,10,2,17,8,3,0,239,0,73,42,152,42,1,0,14,16,66,0,26,0,0,0,0,0,0,0,0,0,0,0,304
Germany,2021,2019/2020,2017/2018,16,10/2020 - 2/2022,Global,ECA,1694,"Baden-WÅrttemberg (112), Bayern (107), Berlin (100), Brandenburg (117), Bremen (88), Hamburg (96), Hessen (94), Mecklenburgvorpommern (115), Niedersachsen (112), Nordrhein-Westfalen (112), Rheinland-Pfalz (114), Saarland (89), Sachsen (109), Sachsen-Anhalt (113), Schleswig-Holstein (115), ThÅringen (101)","Chemicals & Chemical Products (82), Construction (239), Electronics (31), Fabricated Metal Products (107), Food (112), Hotels (113), IT & IT Services (114), Machinery & Equipment (102), Motor Vehicles (30), Other Manufacturing (210), Other Services (330), Restaurants (75), Retail (149)",112,0,0,7,3,2,23,11,23,0,82,0,26,17,9,107,10,31,102,30,8,19,44,8,0,239,0,92,165,149,47,4,1,19,2,188,0,114,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2007,2006,2003,4,6/2007 - 6/2007,Global,AFR,494,"Accra (295), Kumasi (98), Takoradi (50), Tamale (51)","Food (76), Garments (115), Other Manufacturing (101), Other Services (99), Retail (103)",76,0,0,1,115,1,6,0,6,0,7,0,6,8,0,20,1,0,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
Ghana,2013,2012,2010,4,12/2012 - 7/2014,Global,AFR,720,"Accra (358), North (147), Takoradi (57), Tema (158)","Basic Metals/Fabricated Metals/Machinery & Equip. (80), Chemicals, Plastics & Rubber (51), Food (57), Other Manufacturing (189), Other Services (228), Retail (115)",57,0,0,5,25,5,21,3,62,3,26,0,25,21,10,70,0,6,0,1,1,34,2,0,0,35,0,43,57,115,6,0,3,23,0,54,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2023,2022/2023,2020/2021,4,ˇ02/2023 - 02/2024,Global,AFR,713,"Ashanti-Bono-Bono East-Ahafo (168), Greater Accra-Eastern-Volta-Oti (302), Northern-Savannah-North East-Upper East-Upper West (119), Western-North Western-Central (124)","Food (36), Hotels (113), Other Manufacturing (196), Other Services (247), Retail (121)",36,35,0,0,24,4,13,3,24,2,14,4,13,11,6,20,0,3,3,2,0,13,2,0,20,10,15,20,62,121,2,2,5,14,0,113,48,1,2,3,2,18,7,3,0,5,1,4,3,0
Greece,2005,2004,2002,1,10/2004 - 2/2005,Not Global,,546,Greece (546),"Manufacturing (98), Services (448)",27,0,0,5,7,0,1,3,5,0,3,0,2,4,3,11,0,3,6,0,2,16,0,0,0,61,0,47,36,96,18,1,0,11,13,89,0,4,0,0,0,0,0,0,0,0,0,0,0,72
Greece,2018,2017/2018,2015/2016,4,9/2018 - 4/2019,Global,ECA,600,"Aegean Islands, Crete (150), Attica (155), Central Greece (144), Northern Greece (151)","Fabricated Metal Products (87), Food (113), Other Manufacturing (115), Other Services (161), Retail (124)",113,0,1,9,5,1,4,9,5,0,13,0,17,7,6,87,0,3,20,1,2,10,2,0,0,38,0,15,40,124,1,0,0,12,0,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2023,2022/2023,2020/2021,4,5/2023 - 12/2023,Global,ECA,598,"Aegean Islands, Crete (EL4) (125), Attica (EL3) (206), Central Greece (EL6) (138), Northern Greece (EL5) (129)","Food (114), Hotels (126), Other Manufacturing (120), Other Services (124), Retail (114)",114,11,1,5,1,1,1,7,4,1,4,10,10,10,7,21,3,4,8,0,0,5,2,4,8,3,15,8,41,114,4,0,0,6,1,126,16,5,0,5,2,4,4,0,0,0,0,1,1,0
Grenada,2010,2009,2007,1,4/2011 - 7/2011,Global,LAC,153,Entire Country (153),"Manufacturing (25), Services (128)",11,0,0,0,2,0,0,0,4,0,1,0,0,2,0,1,0,0,0,0,0,4,0,0,0,19,0,18,4,40,3,0,0,2,3,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2006,2005,2002,2,,Global,LAC,522,"Guatemala City (346), Resto del pais (176)","Chemicals & Chemical Products (23), Food (91), Garments (47), Rest of Universe (247), Retail (68), Textiles (46)",126,0,0,61,68,3,26,2,2,0,33,0,19,27,13,25,0,1,6,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Guatemala,2010,2009,2007,2,7/2010 - 5/2011,Global,LAC,590,"Guatemala City (436), Rest of the country (154)","Food (109), Other Manufacturing (142), Other Services (116), Retail (118), Textiles & Garments (105)",109,0,0,61,44,7,14,8,9,0,19,0,15,17,10,20,0,0,4,2,1,13,3,0,0,10,0,21,45,118,9,0,1,4,2,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2017,2016,2014,2,10/2017 - 5/2018,Global,LAC,345,"Greater Guatemala City (267), Rest Of The Country (78)","Manufacturing (143), Other Services (132), Retail (70)",37,0,0,6,25,5,4,1,7,0,10,0,7,8,0,13,0,0,5,2,0,13,0,0,0,24,0,17,34,70,7,1,0,8,4,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,2006,2005,2002,2,12/2006 - 12/2006,Global,AFR,223,"Conakry (189), Kindia (34)","Food (27), Garments (35), Other Manufacturing (73), Other Services (39), Retail (49)",27,0,0,6,35,5,6,0,0,0,3,0,1,7,0,18,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Guinea,2016,2015,2013,1,07/2016 - 12/2016,Global,AFR,150,Conakry (150),"Manufacturing (27), Services (123)",4,0,0,0,1,0,2,0,7,0,5,0,0,1,0,4,0,1,0,0,0,2,0,0,0,20,0,12,41,10,15,0,0,11,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,2006,2005,2002,1,5/2006 - 6/2006,Global,AFR,159,Bissau (159),"Food (10), Garments (4), Other Manufacturing (36), Other Services (55), Retail (54)",10,0,0,0,4,0,20,0,2,0,1,0,0,5,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
